"ensembl_transcript_id","mgi_symbol","transcript_biotype","description"
"ENSMUST00000145549","B230312C02Rik","lncRNA","RIKEN cDNA B230312C02 gene [Source:MGI Symbol;Acc:MGI:2444130]"
"ENSMUST00000145230","Adrm1","protein_coding_CDS_not_defined","adhesion regulating molecule 1 26S proteasome ubiquitin receptor [Source:MGI Symbol;Acc:MGI:1929289]"
"ENSMUST00000152850","Adrm1","retained_intron","adhesion regulating molecule 1 26S proteasome ubiquitin receptor [Source:MGI Symbol;Acc:MGI:1929289]"
"ENSMUST00000142820","Rab22a","nonsense_mediated_decay","RAB22A, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:105072]"
"ENSMUST00000029024","Rab22a","protein_coding","RAB22A, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:105072]"
"ENSMUST00000067530","Vapb","protein_coding","vesicle-associated membrane protein, associated protein B and C [Source:MGI Symbol;Acc:MGI:1928744]"
"ENSMUST00000154306","Vapb","protein_coding_CDS_not_defined","vesicle-associated membrane protein, associated protein B and C [Source:MGI Symbol;Acc:MGI:1928744]"
"ENSMUST00000047815","Slc9a8","protein_coding","solute carrier family 9 (sodium/hydrogen exchanger), member 8 [Source:MGI Symbol;Acc:MGI:1924281]"
"ENSMUST00000073873","Slc9a8","protein_coding","solute carrier family 9 (sodium/hydrogen exchanger), member 8 [Source:MGI Symbol;Acc:MGI:1924281]"
"ENSMUST00000150326","Slc9a8","retained_intron","solute carrier family 9 (sodium/hydrogen exchanger), member 8 [Source:MGI Symbol;Acc:MGI:1924281]"
"ENSMUST00000124139","Slc9a8","retained_intron","solute carrier family 9 (sodium/hydrogen exchanger), member 8 [Source:MGI Symbol;Acc:MGI:1924281]"
"ENSMUST00000148454","Slc9a8","protein_coding_CDS_not_defined","solute carrier family 9 (sodium/hydrogen exchanger), member 8 [Source:MGI Symbol;Acc:MGI:1924281]"
"ENSMUST00000057627","Spata2","protein_coding","spermatogenesis associated 2 [Source:MGI Symbol;Acc:MGI:2146885]"
"ENSMUST00000109211","Spata2","protein_coding","spermatogenesis associated 2 [Source:MGI Symbol;Acc:MGI:2146885]"
"ENSMUST00000109214","Rnf114","protein_coding","ring finger protein 114 [Source:MGI Symbol;Acc:MGI:1933159]"
"ENSMUST00000078050","Rnf114","protein_coding","ring finger protein 114 [Source:MGI Symbol;Acc:MGI:1933159]"
"ENSMUST00000127939","Rnf114","nonsense_mediated_decay","ring finger protein 114 [Source:MGI Symbol;Acc:MGI:1933159]"
"ENSMUST00000127006","Gm11476","lncRNA","predicted gene 11476 [Source:MGI Symbol;Acc:MGI:3705135]"
"ENSMUST00000109207","Ube2v1","protein_coding","ubiquitin-conjugating enzyme E2 variant 1 [Source:MGI Symbol;Acc:MGI:1913839]"
"ENSMUST00000060645","Ube2v1","protein_coding","ubiquitin-conjugating enzyme E2 variant 1 [Source:MGI Symbol;Acc:MGI:1913839]"
"ENSMUST00000125544","Gm20431","protein_coding","predicted gene 20431 [Source:MGI Symbol;Acc:MGI:5141896]"
"ENSMUST00000006587","Peds1","protein_coding","plasmanylethanolamine desaturase 1 [Source:MGI Symbol;Acc:MGI:2142624]"
"ENSMUST00000070642","Cebpb","protein_coding","CCAAT/enhancer binding protein (C/EBP), beta [Source:MGI Symbol;Acc:MGI:88373]"
"ENSMUST00000130679","A530013C23Rik","lncRNA","RIKEN cDNA A530013C23 gene [Source:MGI Symbol;Acc:MGI:3041178]"
"ENSMUST00000124850","9230111E07Rik","lncRNA","RIKEN cDNA 9230111E07 gene [Source:MGI Symbol;Acc:MGI:1924998]"
"ENSMUST00000143649","1200007C13Rik","lncRNA","RIKEN cDNA 1200007C13 gene [Source:MGI Symbol;Acc:MGI:1921369]"
"ENSMUST00000121393","Gm4631","protein_coding","predicted gene 4631 [Source:MGI Symbol;Acc:MGI:3782813]"
"ENSMUST00000131676","Zfp968","protein_coding","zinc finger protein 968 [Source:MGI Symbol;Acc:MGI:3782903]"
"ENSMUST00000152941","Gm4724","protein_coding","predicted gene 4724 [Source:MGI Symbol;Acc:MGI:3782904]"
"ENSMUST00000109042","Zfp965","protein_coding","zinc finger protein 965 [Source:MGI Symbol;Acc:MGI:3779822]"
"ENSMUST00000109011","Gm6710","protein_coding","predicted gene 6710 [Source:MGI Symbol;Acc:MGI:3779623]"
"ENSMUST00000109007","Gm2026","protein_coding","predicted gene 2026 [Source:MGI Symbol;Acc:MGI:3780195]"
"ENSMUST00000121358","Gm14324","unprocessed_pseudogene","predicted gene 14324 [Source:MGI Symbol;Acc:MGI:3652186]"
"ENSMUST00000150650","Gm14325","protein_coding","predicted gene 14325 [Source:MGI Symbol;Acc:MGI:3702875]"
"ENSMUST00000108923","Zfp931","protein_coding","zinc finger protein 931 [Source:MGI Symbol;Acc:MGI:2441662]"
"ENSMUST00000109148","Pfdn4","protein_coding","prefoldin 4 [Source:MGI Symbol;Acc:MGI:1923512]"
"ENSMUST00000139328","Pfdn4","protein_coding","prefoldin 4 [Source:MGI Symbol;Acc:MGI:1923512]"
"ENSMUST00000191912","Gm34294","TEC","predicted gene, 34294 [Source:MGI Symbol;Acc:MGI:5593453]"
"ENSMUST00000109159","Tshz2","protein_coding","teashirt zinc finger family member 2 [Source:MGI Symbol;Acc:MGI:2153084]"
"ENSMUST00000109157","Tshz2","protein_coding","teashirt zinc finger family member 2 [Source:MGI Symbol;Acc:MGI:2153084]"
"ENSMUST00000123300","Tshz2","protein_coding","teashirt zinc finger family member 2 [Source:MGI Symbol;Acc:MGI:2153084]"
"ENSMUST00000185239","Tshz2","protein_coding","teashirt zinc finger family member 2 [Source:MGI Symbol;Acc:MGI:2153084]"
"ENSMUST00000044638","Stx16","protein_coding","syntaxin 16 [Source:MGI Symbol;Acc:MGI:1923396]"
"ENSMUST00000044415","Npepl1","protein_coding","aminopeptidase-like 1 [Source:MGI Symbol;Acc:MGI:2448523]"
"ENSMUST00000153957","Npepl1","retained_intron","aminopeptidase-like 1 [Source:MGI Symbol;Acc:MGI:2448523]"
"ENSMUST00000131346","Gm10714","lncRNA","predicted gene 10714 [Source:MGI Symbol;Acc:MGI:3641975]"
"ENSMUST00000151472","Gnasas1","lncRNA","GNAS antisense RNA 1 [Source:MGI Symbol;Acc:MGI:1861674]"
"ENSMUST00000130761","Gnas","protein_coding","GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus [Source:MGI Symbol;Acc:MGI:95777]"
"ENSMUST00000087871","Gnas","protein_coding","GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus [Source:MGI Symbol;Acc:MGI:95777]"
"ENSMUST00000238318","Gnas","nonsense_mediated_decay","GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus [Source:MGI Symbol;Acc:MGI:95777]"
"ENSMUST00000109084","Gnas","protein_coding","GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus [Source:MGI Symbol;Acc:MGI:95777]"
"ENSMUST00000109083","Gnas","protein_coding","GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus [Source:MGI Symbol;Acc:MGI:95777]"
"ENSMUST00000238660","Gnas","protein_coding_CDS_not_defined","GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus [Source:MGI Symbol;Acc:MGI:95777]"
"ENSMUST00000238267","Gnas","protein_coding","GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus [Source:MGI Symbol;Acc:MGI:95777]"
"ENSMUST00000109075","Nelfcd","protein_coding","negative elongation factor complex member C/D, Th1l [Source:MGI Symbol;Acc:MGI:1926424]"
"ENSMUST00000016397","Nelfcd","protein_coding","negative elongation factor complex member C/D, Th1l [Source:MGI Symbol;Acc:MGI:1926424]"
"ENSMUST00000016400","Ctsz","protein_coding","cathepsin Z [Source:MGI Symbol;Acc:MGI:1891190]"
"ENSMUST00000029030","Edn3","protein_coding","endothelin 3 [Source:MGI Symbol;Acc:MGI:95285]"
"ENSMUST00000127251","Gm14443","retained_intron","predicted gene 14443 [Source:MGI Symbol;Acc:MGI:3652324]"
"ENSMUST00000109054","Gm14443","protein_coding","predicted gene 14443 [Source:MGI Symbol;Acc:MGI:3652324]"
"ENSMUST00000151240","Gm14391","retained_intron","predicted gene 14391 [Source:MGI Symbol;Acc:MGI:3709324]"
"ENSMUST00000118012","Gm14295","protein_coding","predicted gene 14295 [Source:MGI Symbol;Acc:MGI:3709624]"
"ENSMUST00000132883","Gm14295","protein_coding","predicted gene 14295 [Source:MGI Symbol;Acc:MGI:3709624]"
"ENSMUST00000134982","Gm14296","nonsense_mediated_decay","predicted gene 14296 [Source:MGI Symbol;Acc:MGI:3708667]"
"ENSMUST00000135176","Gm14296","retained_intron","predicted gene 14296 [Source:MGI Symbol;Acc:MGI:3708667]"
"ENSMUST00000108959","Gm14412","protein_coding","predicted gene 14412 [Source:MGI Symbol;Acc:MGI:3652251]"
"ENSMUST00000126807","Gm14308","protein_coding_CDS_not_defined","predicted gene 14308 [Source:MGI Symbol;Acc:MGI:3782921]"
"ENSMUST00000119149","Gm14308","protein_coding","predicted gene 14308 [Source:MGI Symbol;Acc:MGI:3782921]"
"ENSMUST00000108980","Gm14305","protein_coding","predicted gene 14305 [Source:MGI Symbol;Acc:MGI:3709632]"
"ENSMUST00000156269","Gm14410","protein_coding_CDS_not_defined","predicted gene 14410 [Source:MGI Symbol;Acc:MGI:3709158]"
"ENSMUST00000108975","Gm14419","protein_coding","predicted gene 14419 [Source:MGI Symbol;Acc:MGI:3702410]"
"ENSMUST00000149689","Gm14418","protein_coding","predicted gene 14418 [Source:MGI Symbol;Acc:MGI:3702408]"
"ENSMUST00000108955","Gm14418","protein_coding","predicted gene 14418 [Source:MGI Symbol;Acc:MGI:3702408]"
"ENSMUST00000109049","Gm2004","protein_coding","predicted gene 2004 [Source:MGI Symbol;Acc:MGI:3780174]"
"ENSMUST00000099009","2210418O10Rik","protein_coding","RIKEN cDNA 2210418O10 gene [Source:MGI Symbol;Acc:MGI:1924208]"
"ENSMUST00000120959","Gm14434","protein_coding","predicted gene 14434 [Source:MGI Symbol;Acc:MGI:3702417]"
"ENSMUST00000127687","Zfp968-ps","protein_coding","zinc finger protein 968, pseudogene [Source:MGI Symbol;Acc:MGI:3702420]"
"ENSMUST00000109051","Gm14440","protein_coding","predicted gene 14440 [Source:MGI Symbol;Acc:MGI:3702430]"
"ENSMUST00000204998","Slco1c1","nonsense_mediated_decay","solute carrier organic anion transporter family, member 1c1 [Source:MGI Symbol;Acc:MGI:1889679]"
"ENSMUST00000032362","Slco1c1","protein_coding","solute carrier organic anion transporter family, member 1c1 [Source:MGI Symbol;Acc:MGI:1889679]"
"ENSMUST00000205214","Slco1c1","protein_coding","solute carrier organic anion transporter family, member 1c1 [Source:MGI Symbol;Acc:MGI:1889679]"
"ENSMUST00000165990","Slco1a4","protein_coding","solute carrier organic anion transporter family, member 1a4 [Source:MGI Symbol;Acc:MGI:1351896]"
"ENSMUST00000204676","Slco1a4","retained_intron","solute carrier organic anion transporter family, member 1a4 [Source:MGI Symbol;Acc:MGI:1351896]"
"ENSMUST00000168119","Slco1a1","protein_coding","solute carrier organic anion transporter family, member 1a1 [Source:MGI Symbol;Acc:MGI:1351891]"
"ENSMUST00000173877","Slco1a6","protein_coding_CDS_not_defined","solute carrier organic anion transporter family, member 1a6 [Source:MGI Symbol;Acc:MGI:1351906]"
"ENSMUST00000153268","Slco1a5","nonsense_mediated_decay","solute carrier organic anion transporter family, member 1a5 [Source:MGI Symbol;Acc:MGI:1351865]"
"ENSMUST00000081380","Slco1a5","protein_coding","solute carrier organic anion transporter family, member 1a5 [Source:MGI Symbol;Acc:MGI:1351865]"
"ENSMUST00000031897","Gstk1","protein_coding","glutathione S-transferase kappa 1 [Source:MGI Symbol;Acc:MGI:1923513]"
"ENSMUST00000204088","Gstk1","nonsense_mediated_decay","glutathione S-transferase kappa 1 [Source:MGI Symbol;Acc:MGI:1923513]"
"ENSMUST00000203174","Gstk1","retained_intron","glutathione S-transferase kappa 1 [Source:MGI Symbol;Acc:MGI:1923513]"
"ENSMUST00000041852","Pyroxd1","protein_coding","pyridine nucleotide-disulphide oxidoreductase domain 1 [Source:MGI Symbol;Acc:MGI:2676395]"
"ENSMUST00000137098","Pyroxd1","retained_intron","pyridine nucleotide-disulphide oxidoreductase domain 1 [Source:MGI Symbol;Acc:MGI:2676395]"
"ENSMUST00000031895","Casp2","protein_coding","caspase 2 [Source:MGI Symbol;Acc:MGI:97295]"
"ENSMUST00000139930","Casp2","retained_intron","caspase 2 [Source:MGI Symbol;Acc:MGI:97295]"
"ENSMUST00000100832","Recql","protein_coding","RecQ protein-like [Source:MGI Symbol;Acc:MGI:103021]"
"ENSMUST00000141504","Recql","protein_coding","RecQ protein-like [Source:MGI Symbol;Acc:MGI:103021]"
"ENSMUST00000111803","Recql","protein_coding","RecQ protein-like [Source:MGI Symbol;Acc:MGI:103021]"
"ENSMUST00000123912","Recql","protein_coding","RecQ protein-like [Source:MGI Symbol;Acc:MGI:103021]"
"ENSMUST00000154870","Recql","retained_intron","RecQ protein-like [Source:MGI Symbol;Acc:MGI:103021]"
"ENSMUST00000032372","Golt1b","protein_coding","golgi transport 1B [Source:MGI Symbol;Acc:MGI:1914214]"
"ENSMUST00000130817","Ldhb","protein_coding","lactate dehydrogenase B [Source:MGI Symbol;Acc:MGI:96763]"
"ENSMUST00000032373","Ldhb","protein_coding","lactate dehydrogenase B [Source:MGI Symbol;Acc:MGI:96763]"
"ENSMUST00000114684","Clcn1","protein_coding_CDS_not_defined","chloride channel, voltage-sensitive 1 [Source:MGI Symbol;Acc:MGI:88417]"
"ENSMUST00000163235","Clcn1","nonsense_mediated_decay","chloride channel, voltage-sensitive 1 [Source:MGI Symbol;Acc:MGI:88417]"
"ENSMUST00000203945","Kcnj8","protein_coding","potassium inwardly-rectifying channel, subfamily J, member 8 [Source:MGI Symbol;Acc:MGI:1100508]"
"ENSMUST00000032374","Kcnj8","protein_coding","potassium inwardly-rectifying channel, subfamily J, member 8 [Source:MGI Symbol;Acc:MGI:1100508]"
"ENSMUST00000170089","Gata2","protein_coding","GATA binding protein 2 [Source:MGI Symbol;Acc:MGI:95662]"
"ENSMUST00000015197","Gata2","protein_coding","GATA binding protein 2 [Source:MGI Symbol;Acc:MGI:95662]"
"ENSMUST00000095974","Fam131b","protein_coding","family with sequence similarity 131, member B [Source:MGI Symbol;Acc:MGI:1923406]"
"ENSMUST00000032476","Slc2a3","protein_coding","solute carrier family 2 (facilitated glucose transporter), member 3 [Source:MGI Symbol;Acc:MGI:95757]"
"ENSMUST00000168704","Slc2a3","retained_intron","solute carrier family 2 (facilitated glucose transporter), member 3 [Source:MGI Symbol;Acc:MGI:95757]"
"ENSMUST00000204407","Gm5112","TEC","predicted gene 5112 [Source:MGI Symbol;Acc:MGI:3779460]"
"ENSMUST00000003238","Foxj2","protein_coding","forkhead box J2 [Source:MGI Symbol;Acc:MGI:1926805]"
"ENSMUST00000177927","Foxj2","protein_coding","forkhead box J2 [Source:MGI Symbol;Acc:MGI:1926805]"
"ENSMUST00000042081","C3ar1","protein_coding","complement component 3a receptor 1 [Source:MGI Symbol;Acc:MGI:1097680]"
"ENSMUST00000165242","Eefsec","protein_coding","eukaryotic elongation factor, selenocysteine-tRNA-specific [Source:MGI Symbol;Acc:MGI:2137092]"
"ENSMUST00000205179","Eefsec","protein_coding","eukaryotic elongation factor, selenocysteine-tRNA-specific [Source:MGI Symbol;Acc:MGI:2137092]"
"ENSMUST00000032477","Necap1","protein_coding","NECAP endocytosis associated 1 [Source:MGI Symbol;Acc:MGI:1914852]"
"ENSMUST00000087241","Shisa3","protein_coding","shisa family member 3 [Source:MGI Symbol;Acc:MGI:3041225]"
"ENSMUST00000031273","Cds1","protein_coding","CDP-diacylglycerol synthase 1 [Source:MGI Symbol;Acc:MGI:1921846]"
"ENSMUST00000203652","Zyx","protein_coding","zyxin [Source:MGI Symbol;Acc:MGI:103072]"
"ENSMUST00000203401","Zyx","protein_coding","zyxin [Source:MGI Symbol;Acc:MGI:103072]"
"ENSMUST00000164375","Zyx","protein_coding","zyxin [Source:MGI Symbol;Acc:MGI:103072]"
"ENSMUST00000053426","Pptc7","protein_coding","PTC7 protein phosphatase homolog [Source:MGI Symbol;Acc:MGI:2444593]"
"ENSMUST00000060484","Clec4a1","protein_coding","C-type lectin domain family 4, member a1 [Source:MGI Symbol;Acc:MGI:3036291]"
"ENSMUST00000066134","Rpia","protein_coding","ribose 5-phosphate isomerase A [Source:MGI Symbol;Acc:MGI:103254]"
"ENSMUST00000129244","Rpia","retained_intron","ribose 5-phosphate isomerase A [Source:MGI Symbol;Acc:MGI:103254]"
"ENSMUST00000117263","Rad9b","protein_coding","RAD9 checkpoint clamp component B [Source:MGI Symbol;Acc:MGI:2385231]"
"ENSMUST00000149600","Rad9b","protein_coding","RAD9 checkpoint clamp component B [Source:MGI Symbol;Acc:MGI:2385231]"
"ENSMUST00000144268","Rad9b","protein_coding","RAD9 checkpoint clamp component B [Source:MGI Symbol;Acc:MGI:2385231]"
"ENSMUST00000200653","Rad9b","retained_intron","RAD9 checkpoint clamp component B [Source:MGI Symbol;Acc:MGI:2385231]"
"ENSMUST00000032165","Ruvbl1","protein_coding","RuvB-like protein 1 [Source:MGI Symbol;Acc:MGI:1928760]"
"ENSMUST00000155671","Vps29","protein_coding","VPS29 retromer complex component [Source:MGI Symbol;Acc:MGI:1928344]"
"ENSMUST00000118830","Vps29","protein_coding","VPS29 retromer complex component [Source:MGI Symbol;Acc:MGI:1928344]"
"ENSMUST00000118765","Vps29","protein_coding","VPS29 retromer complex component [Source:MGI Symbol;Acc:MGI:1928344]"
"ENSMUST00000117173","Clec4a3","protein_coding","C-type lectin domain family 4, member a3 [Source:MGI Symbol;Acc:MGI:1920399]"
"ENSMUST00000088468","Clec4a3","protein_coding","C-type lectin domain family 4, member a3 [Source:MGI Symbol;Acc:MGI:1920399]"
"ENSMUST00000031419","Fam216a","protein_coding","family with sequence similarity 216, member A [Source:MGI Symbol;Acc:MGI:1916198]"
"ENSMUST00000146698","Gpn3","nonsense_mediated_decay","GPN-loop GTPase 3 [Source:MGI Symbol;Acc:MGI:1289326]"
"ENSMUST00000196642","Gm42830","TEC","predicted gene 42830 [Source:MGI Symbol;Acc:MGI:5662967]"
"ENSMUST00000083816","Gm23346","snoRNA","predicted gene, 23346 [Source:MGI Symbol;Acc:MGI:5453123]"
"ENSMUST00000102525","Arpc3","protein_coding","actin related protein 2/3 complex, subunit 3 [Source:MGI Symbol;Acc:MGI:1928375]"
"ENSMUST00000148913","Arpc3","retained_intron","actin related protein 2/3 complex, subunit 3 [Source:MGI Symbol;Acc:MGI:1928375]"
"ENSMUST00000111716","Arpc3","protein_coding","actin related protein 2/3 complex, subunit 3 [Source:MGI Symbol;Acc:MGI:1928375]"
"ENSMUST00000111713","Arpc3","protein_coding","actin related protein 2/3 complex, subunit 3 [Source:MGI Symbol;Acc:MGI:1928375]"
"ENSMUST00000032168","Sec61a1","protein_coding","Sec61 alpha 1 subunit (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1858417]"
"ENSMUST00000145421","Sec61a1","retained_intron","Sec61 alpha 1 subunit (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1858417]"
"ENSMUST00000130918","Sec61a1","retained_intron","Sec61 alpha 1 subunit (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1858417]"
"ENSMUST00000198417","Gm42829","lncRNA","predicted gene 42829 [Source:MGI Symbol;Acc:MGI:5662966]"
"ENSMUST00000135930","Atp8a1","protein_coding","ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1 [Source:MGI Symbol;Acc:MGI:1330848]"
"ENSMUST00000072971","Atp8a1","protein_coding","ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1 [Source:MGI Symbol;Acc:MGI:1330848]"
"ENSMUST00000200955","Atp8a1","nonsense_mediated_decay","ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1 [Source:MGI Symbol;Acc:MGI:1330848]"
"ENSMUST00000113651","Atp8a1","protein_coding","ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1 [Source:MGI Symbol;Acc:MGI:1330848]"
"ENSMUST00000184591","Kbtbd12","retained_intron","kelch repeat and BTB (POZ) domain containing 12 [Source:MGI Symbol;Acc:MGI:1918481]"
"ENSMUST00000074241","Thnsl2","protein_coding","threonine synthase-like 2 (bacterial) [Source:MGI Symbol;Acc:MGI:3041254]"
"ENSMUST00000181355","Gm26588","lncRNA","predicted gene, 26588 [Source:MGI Symbol;Acc:MGI:5477082]"
"ENSMUST00000181064","Gm26588","lncRNA","predicted gene, 26588 [Source:MGI Symbol;Acc:MGI:5477082]"
"ENSMUST00000032248","Clec4a2","protein_coding","C-type lectin domain family 4, member a2 [Source:MGI Symbol;Acc:MGI:1349412]"
"ENSMUST00000031879","Tcaf2","protein_coding","TRPM8 channel-associated factor 2 [Source:MGI Symbol;Acc:MGI:2385258]"
"ENSMUST00000045054","Tcaf1","protein_coding","TRPM8 channel-associated factor 1 [Source:MGI Symbol;Acc:MGI:1914665]"
"ENSMUST00000121083","Tcaf1","protein_coding","TRPM8 channel-associated factor 1 [Source:MGI Symbol;Acc:MGI:1914665]"
"ENSMUST00000045140","Tcaf1","protein_coding","TRPM8 channel-associated factor 1 [Source:MGI Symbol;Acc:MGI:1914665]"
"ENSMUST00000141794","Tcaf1","protein_coding_CDS_not_defined","TRPM8 channel-associated factor 1 [Source:MGI Symbol;Acc:MGI:1914665]"
"ENSMUST00000112554","Clec4n","protein_coding","C-type lectin domain family 4, member n [Source:MGI Symbol;Acc:MGI:1861231]"
"ENSMUST00000117130","Clec4n","protein_coding","C-type lectin domain family 4, member n [Source:MGI Symbol;Acc:MGI:1861231]"
"ENSMUST00000201718","Gm42735","TEC","predicted gene 42735 [Source:MGI Symbol;Acc:MGI:5662872]"
"ENSMUST00000204826","Clec4d","nonsense_mediated_decay","C-type lectin domain family 4, member d [Source:MGI Symbol;Acc:MGI:1298389]"
"ENSMUST00000119792","Anapc7","protein_coding","anaphase promoting complex subunit 7 [Source:MGI Symbol;Acc:MGI:1929711]"
"ENSMUST00000154074","Anapc7","protein_coding","anaphase promoting complex subunit 7 [Source:MGI Symbol;Acc:MGI:1929711]"
"ENSMUST00000031422","Anapc7","protein_coding","anaphase promoting complex subunit 7 [Source:MGI Symbol;Acc:MGI:1929711]"
"ENSMUST00000074301","Smyd1","protein_coding","SET and MYND domain containing 1 [Source:MGI Symbol;Acc:MGI:104790]"
"ENSMUST00000114186","Smyd1","protein_coding","SET and MYND domain containing 1 [Source:MGI Symbol;Acc:MGI:104790]"
"ENSMUST00000053177","Wdfy3","protein_coding","WD repeat and FYVE domain containing 3 [Source:MGI Symbol;Acc:MGI:1096875]"
"ENSMUST00000173955","Wdfy3","retained_intron","WD repeat and FYVE domain containing 3 [Source:MGI Symbol;Acc:MGI:1096875]"
"ENSMUST00000174698","Wdfy3","protein_coding","WD repeat and FYVE domain containing 3 [Source:MGI Symbol;Acc:MGI:1096875]"
"ENSMUST00000172512","Wdfy3","protein_coding_CDS_not_defined","WD repeat and FYVE domain containing 3 [Source:MGI Symbol;Acc:MGI:1096875]"
"ENSMUST00000204436","Krcc1","protein_coding","lysine-rich coiled-coil 1 [Source:MGI Symbol;Acc:MGI:1889377]"
"ENSMUST00000080949","Krcc1","protein_coding","lysine-rich coiled-coil 1 [Source:MGI Symbol;Acc:MGI:1889377]"
"ENSMUST00000204262","Gm44321","TEC","predicted gene, 44321 [Source:MGI Symbol;Acc:MGI:5690713]"
"ENSMUST00000065248","Cd8b1","protein_coding","CD8 antigen, beta chain 1 [Source:MGI Symbol;Acc:MGI:88347]"
"ENSMUST00000175995","Clec4e","retained_intron","C-type lectin domain family 4, member e [Source:MGI Symbol;Acc:MGI:1861232]"
"ENSMUST00000216179","Or2a7","protein_coding","olfactory receptor family 2 subfamily A member 7 [Source:MGI Symbol;Acc:MGI:104812]"
"ENSMUST00000204863","Gm44175","lncRNA","predicted gene, 44175 [Source:MGI Symbol;Acc:MGI:5690567]"
"ENSMUST00000172199","Vmn2r20","protein_coding","vomeronasal 2, receptor 20 [Source:MGI Symbol;Acc:MGI:3646439]"
"ENSMUST00000113585","Mgll","protein_coding","monoglyceride lipase [Source:MGI Symbol;Acc:MGI:1346042]"
"ENSMUST00000151699","Mgll","protein_coding_CDS_not_defined","monoglyceride lipase [Source:MGI Symbol;Acc:MGI:1346042]"
"ENSMUST00000089449","Mgll","protein_coding","monoglyceride lipase [Source:MGI Symbol;Acc:MGI:1346042]"
"ENSMUST00000205045","Mgll","retained_intron","monoglyceride lipase [Source:MGI Symbol;Acc:MGI:1346042]"
"ENSMUST00000202890","Gm43842","TEC","predicted gene 43842 [Source:MGI Symbol;Acc:MGI:5663979]"
"ENSMUST00000195986","Gm17978","processed_pseudogene","predicted gene, 17978 [Source:MGI Symbol;Acc:MGI:5010163]"
"ENSMUST00000201812","Gm43229","TEC","predicted gene 43229 [Source:MGI Symbol;Acc:MGI:5663366]"
"ENSMUST00000202425","Gm42888","TEC","predicted gene 42888 [Source:MGI Symbol;Acc:MGI:5663025]"
"ENSMUST00000201115","3110031N09Rik","TEC","RIKEN cDNA 3110031N09 gene [Source:MGI Symbol;Acc:MGI:1920391]"
"ENSMUST00000112852","Arhgap24","protein_coding","Rho GTPase activating protein 24 [Source:MGI Symbol;Acc:MGI:1922647]"
"ENSMUST00000203186","Gm44005","TEC","predicted gene, 44005 [Source:MGI Symbol;Acc:MGI:5690397]"
"ENSMUST00000182924","Arhgef5","protein_coding","Rho guanine nucleotide exchange factor (GEF) 5 [Source:MGI Symbol;Acc:MGI:1858952]"
"ENSMUST00000183313","Arhgef5","retained_intron","Rho guanine nucleotide exchange factor (GEF) 5 [Source:MGI Symbol;Acc:MGI:1858952]"
"ENSMUST00000116456","Cyth3","protein_coding","cytohesin 3 [Source:MGI Symbol;Acc:MGI:1335107]"
"ENSMUST00000198355","Cyth3","retained_intron","cytohesin 3 [Source:MGI Symbol;Acc:MGI:1335107]"
"ENSMUST00000002292","Rmnd5a","protein_coding","required for meiotic nuclear division 5 homolog A [Source:MGI Symbol;Acc:MGI:1915727]"
"ENSMUST00000149415","Rmnd5a","protein_coding","required for meiotic nuclear division 5 homolog A [Source:MGI Symbol;Acc:MGI:1915727]"
"ENSMUST00000144081","Rmnd5a","protein_coding_CDS_not_defined","required for meiotic nuclear division 5 homolog A [Source:MGI Symbol;Acc:MGI:1915727]"
"ENSMUST00000233759","Vmn2r24","protein_coding","vomeronasal 2, receptor 24 [Source:MGI Symbol;Acc:MGI:3647530]"
"ENSMUST00000233160","Vmn2r25","nonsense_mediated_decay","vomeronasal 2, receptor 25 [Source:MGI Symbol;Acc:MGI:3644645]"
"ENSMUST00000064637","Rnf103","protein_coding","ring finger protein 103 [Source:MGI Symbol;Acc:MGI:109483]"
"ENSMUST00000032169","Abtb1","protein_coding","ankyrin repeat and  BTB (POZ) domain containing 1 [Source:MGI Symbol;Acc:MGI:1933148]"
"ENSMUST00000203137","Abtb1","nonsense_mediated_decay","ankyrin repeat and  BTB (POZ) domain containing 1 [Source:MGI Symbol;Acc:MGI:1933148]"
"ENSMUST00000203272","Abtb1","nonsense_mediated_decay","ankyrin repeat and  BTB (POZ) domain containing 1 [Source:MGI Symbol;Acc:MGI:1933148]"
"ENSMUST00000179939","Atp2a2","nonsense_mediated_decay","ATPase, Ca++ transporting, cardiac muscle, slow twitch 2 [Source:MGI Symbol;Acc:MGI:88110]"
"ENSMUST00000032238","Vmn2r26","protein_coding","vomeronasal 2, receptor 26 [Source:MGI Symbol;Acc:MGI:2678394]"
